Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness
American Pale Ale,10,"18,93","1,049","1,011","4,95","38,95","7,46","26,5",60,"1,035",70,
American Pale Ale,10,"41,64","1,048","1,01",5,"30,57","5,39","47,32",90,,70,
Saison,134,38,"1,065","1,018","6,11","25,08","5,64",62,90,"1,04",65,"5,2"
American IPA,7,"18,93","1,061","1,015","5,97",0,"11,89","25,21",60,,75,
American IPA,7,"22,71","1,066","1,014","6,86","57,84","11,19","28,39",60,,80,
Saison,134,"21,77","1,055","1,004","6,74","47,77",6,"26,5",60,"1,045",73,
American IPA,7,"18,9","1,061","1,012","6,46","60,55","7,43",29,60,"1,04",80,
Saison,134,"24,61","1,059","1,009","6,58","95,41","4,43","31,23",90,,80,
American Pale Ale,10,"20,82","1,051","1,012","5,08","41,46","10,88","28,39",60,,75,
American IPA,7,"18,93","1,074","1,017","7,47","46,42","6,34","18,93",60,"1,074",35,
American IPA,7,"9,46","1,055","1,013","5,54","41,59","10,33","9,46",40,,70,
American IPA,7,"18,93","1,088","1,027","8,06",29,"5,18","26,5",60,"1,063",75,"1,5"
American IPA,7,"20,82","1,062","1,016","6,14","58,26","10,25","11,36",60,"1,114",35,
American IPA,7,25,"1,063","1,013","6,59","54,72","6,35",35,60,"1,045",75,"2,6"
American Pale Ale,10,"20,82","1,073","1,018","7,15","78,49","10,72","28,39",90,"1,053",75,
Saison,134,"19,87","1,062","1,006","7,3","64,78","4,41","20,82",90,"1,059",63,
American IPA,7,21,"1,057","1,011","6,01","62,41","7,68",10,30,"1,042",50,
American Pale Ale,10,"16,5","1,05","1,008","5,52","42,15","11,38",23,60,"1,036",62,3
American Pale Ale,10,10,"1,05","1,01","5,21","42,03","6,66","13,5",60,"1,037",70,
American Pale Ale,10,"20,5","1,057","1,012","5,93","51,5","8,38","26,5",60,"1,044",77,3
American IPA,7,"18,93","1,075","1,021","7,59","42,23","21,61","22,71",60,,75,
American IPA,7,"17,03","1,068","1,017","6,66","80,91",40,"13,25",90,,70,
American IPA,7,"18,93","1,058","1,016","5,47","54,16","7,07","18,93",60,,70,
American IPA,7,"41,64","1,063","1,018","5,99","65,83","4,06","49,21",60,"1,054",73,"1,5"
American IPA,7,"41,64","1,061","1,013","6,25","91,14","12,49","47,32",60,"1,054",70,
American Pale Ale,10,"18,93","1,051","1,013","5,04","42,41","2,8","11,36",60,"1,07",35,
Saison,134,"18,93","1,068","1,015","7,05","34,82","5,53","26,5",90,,65,
American IPA,7,"20,82","1,065","1,021","6,09","84,28","6,87","24,61",60,,75,
American IPA,7,20,"1,069","1,015","7,1","70,32","7,86",25,60,"1,055",70,"2,5"
American IPA,7,"18,93","1,071","1,017","7,09","54,03","8,02","9,46",60,"1,088",35,
American IPA,7,"681,37","1,063","1,012","6,73","146,09","6,06","687,05",60,"1,063",75,"1,4"
American IPA,7,"22,71","1,077","1,018","7,74","44,17","34,62","28,39",90,"1,062",70,"1,25"
American Amber Ale,4,"41,64","1,058","1,016","5,53","27,23","14,51","49,21",60,"1,049",80,"1,27"
American IPA,7,"39,75","1,062","1,017","5,89","132,7","10,05","43,53",60,,70,
American IPA,7,"39,75","1,084","1,015","9,08","142,26","6,6",53,90,,72,
American Pale Ale,10,"15,14","1,049","1,012","4,96","35,22","6,5","17,98",60,,82,
American Pale Ale,10,"20,82","1,058","1,014","5,74","37,77","5,88","26,5",60,,70,
Saison,134,"20,82","1,071","1,013","7,56","23,69","4,17","26,5",60,,70,
Saison,134,"20,82","1,058","1,017","5,29","37,89","6,33","28,39",60,"1,037",65,"1,25"
American IPA,7,"11,36","1,068","1,012","7,39","73,72","14,85","15,14",60,"1,051",67,
American IPA,7,"18,93","1,072","1,017","7,26","74,79","15,87","11,36",60,,70,
American IPA,7,"37,85","1,064","1,018","6,07","48,84","10,19","43,53",60,,75,
American IPA,7,"30,28","1,07","1,018","6,82","51,27","8,96","36,91",60,"1,057",70,"1,5"
American IPA,7,"22,71","1,077","1,017","7,81","164,83","11,44","30,28",90,"1,057",70,"1,25"
Saison,134,"20,82","1,07","1,015","7,16","37,07","4,28","22,71",50,,70,
American IPA,7,"15,14","1,062","1,017","5,83","49,3","8,98","20,82",60,"1,045",65,
American Pale Ale,10,"4,5","1,049","1,01","5,06","34,95","5,54","6,6",60,"1,033",66,
American Amber Ale,4,21,"1,038","1,007","4,11","32,95","7,01","28,5",60,"1,028",65,
American IPA,7,"41,64","1,079","1,015","8,36","60,12","7,41","51,1",60,"1,064",75,
American Amber Ale,4,"9,46","1,07","1,02","6,65","38,27",21,"12,87",60,,75,
American Pale Ale,10,"18,93","1,056","1,014","5,52",0,"17,16","26,5",90,,70,
American IPA,7,20,"1,066","1,013",7,"62,81","6,6",23,60,"1,057",70,
American IPA,7,"18,93","1,05","1,009","5,37",0,"11,04","22,71",60,,65,
